Model,Year,Mileage,HorsePower,Fuel,Transmission,Price
BMW 3,2016,160000,120 kW (163 CP),Diesel,automata,18990
BMW 3,2011,122000,135 kW (184 CP),Diesel,automata,8900
BMW 3,2016,74600,140 kW (190 CP),Diesel,automata,22900
BMW 3,2007,153000,95 kW (129 CP),Benzina,manuala,5200
BMW 3,2010,174912,105 kW (143 CP),Diesel,manuala,6980
BMW 3,2009,95000,125 kW (170 CP),Benzina,manuala,11890
BMW 3,2007,191000,170 kW (231 CP),Diesel,manuala,8500
BMW 3,2007,140000,172 kW (234 CP),Benzina,manuala,4500
BMW 3,2007,230000,130 kW (177 CP),Diesel,manuala,4000
BMW 3,2014,118900,85 kW (116 CP),Diesel,manuala,12700
BMW 3,2014,81707,135 kW (184 CP),Benzina,automata,21950
BMW 3,2016,36500,85 kW (116 CP),Diesel,manuala,21950
BMW 3,2014,68500,135 kW (184 CP),Diesel,automata,16900
BMW 3,2009,171000,130 kW (177 CP),Diesel,automata,8200
BMW 3,2007,208000,110 kW (150 CP),Benzina,automata,6190
BMW 3,2017,42000,190 kW (258 CP),Diesel,automata,37750
BMW 3,2011,70910,135 kW (184 CP),Diesel,manuala,11795
BMW 3,2016,71761,140 kW (190 CP),Diesel,manuala,21899
BMW 3,2014,94283,230 kW (313 CP),Diesel,automata,25645
BMW 3,2013,46400,135 kW (184 CP),Benzina,automata,17990
BMW 3,2008,77500,105 kW (143 CP),Benzina,manuala,8500
BMW 3,2016,190000,110 kW (150 CP),Diesel,manuala,14990
BMW 3,2013,130101,135 kW (184 CP),Benzina,manuala,14700
BMW 3,2012,124000,243 kW (330 CP),Diesel,automata,22799
BMW 3,2016,75321,140 kW (190 CP),Diesel,automata,20900
BMW 3,2018,24932,135 kW (184 CP),Benzina,automata,29990
BMW 3,2009,179730,105 kW (143 CP),Benzina,manuala,5990
BMW 3,2014,92400,105 kW (143 CP),Diesel,manuala,14300
BMW 3,2011,46680,105 kW (143 CP),Benzina,manuala,11990
BMW 3,2013,123000,225 kW (306 CP),Benzina,automata,16300
BMW 3,2014,25092,180 kW (245 CP),Benzina,automata,25220
BMW 3,2017,171000,110 kW (150 CP),Diesel,automata,16700
BMW 3,2009,140250,105 kW (143 CP),Benzina,manuala,9480
BMW 3,2015,95000,105 kW (143 CP),Diesel,automata,16990
BMW 3,2013,55194,135 kW (184 CP),Benzina,automata,18580
BMW 3,2010,175400,120 kW (163 CP),Diesel,manuala,7950
BMW 3,2007,204000,120 kW (163 CP),Diesel,automata,4950
BMW 3,2011,220000,135 kW (184 CP),Diesel,automata,6999
BMW 3,2017,26053,85 kW (116 CP),Diesel,automata,20400
BMW 3,2018,21686,140 kW (190 CP),Diesel,automata,41640
BMW 3,2008,158000,105 kW (143 CP),Benzina,manuala,7800
BMW 3,2009,274000,130 kW (177 CP),Diesel,manuala,6800
